,sample_№,inference_time,2-wasserstein_distance,mean,var,cov
0,0,0.37064123153686523,3.8802025445988915,-0.09307463467121124,1.0576989650726318,0.6279082298278809
1,1,0.3465909957885742,3.8904657845433706,-0.09226535260677338,1.0578094720840454,0.625737726688385
2,2,0.37609052658081055,3.8726498685522097,-0.09392427653074265,1.0519530773162842,0.6189747452735901
3,3,0.31253480911254883,3.8940103661170866,-0.09606695175170898,1.0577483177185059,0.6248558163642883
4,4,0.34061098098754883,3.8770594159227763,-0.09313797950744629,1.0549416542053223,0.6244490742683411
5,5,0.32918572425842285,3.8692946276007865,-0.09307125210762024,1.0557900667190552,0.6270656585693359
6,6,0.36001110076904297,3.879200920543411,-0.09411822259426117,1.0567188262939453,0.6235926747322083
7,7,0.3437776565551758,3.8937397980390025,-0.09339893609285355,1.0594170093536377,0.6263865828514099
8,8,0.3514742851257324,3.8804881042003982,-0.09503477066755295,1.0546882152557373,0.6199568510055542
9,9,0.34926939010620117,3.8870409840135305,-0.09280554205179214,1.0563700199127197,0.6245232820510864
