,sample_№,"inference_time, сек.",2-WD_max,2-WD,"delta_W, %",mean_opt,mean,"delta_mean, %",var_opt,var,"delta_var, %",cov
0,0,0.10910391807556152,0.45417760118973616,0.10808632017396666,76.2017501764001,-0.10268260538578033,-0.09397570043802261,8.479435163381108,1.0005173683166504,1.0194861888885498,1.8959011779889499,0.6084983944892883
1,1,0.08214664459228516,0.44089213797790305,0.1032982767790139,76.57062399597811,-0.10268260538578033,-0.09854663908481598,4.027913282318322,1.0005173683166504,1.036571741104126,3.6035729043001337,0.6156569719314575
2,2,0.08358073234558105,0.4707676976817973,0.11392028817105407,75.80116717182761,-0.10268260538578033,-0.09492392838001251,7.555979882491623,1.0005173683166504,1.0394299030303955,3.8892413011494886,0.6162718534469604
3,3,0.0937032699584961,0.4448484040317189,0.10386844247011093,76.65082272326083,-0.10268260538578033,-0.09863394498825073,3.942888264588452,1.0005173683166504,1.035461187362671,3.492574956975785,0.6178616881370544
4,4,0.07268047332763672,0.44033456441369934,0.09661575494964315,78.05855757013171,-0.10268260538578033,-0.1056341901421547,2.874473963029282,1.0005173683166504,1.025732398033142,2.5201991004829294,0.6079924702644348
5,5,0.08867812156677246,0.4506590818013386,0.10496371492861666,76.70884285543208,-0.10268260538578033,-0.10055180639028549,2.075131408566615,1.0005173683166504,1.0366036891937256,3.6067660612218733,0.6126160621643066
6,6,0.0840158462524414,0.4489834386051499,0.0956200541114564,78.70298859830604,-0.10268260538578033,-0.09362570941448212,8.8202825953542,1.0005173683166504,1.0358607769012451,3.532513248026796,0.6142732501029968
7,7,0.0937490463256836,0.4569672848304942,0.1090910634825148,76.12716115487773,-0.10268260538578033,-0.10067560523748398,1.954566833161295,1.0005173683166504,1.0365315675735474,3.5995576286186926,0.6118932962417603
8,8,0.08236408233642578,0.46688981346897557,0.11294287759897884,75.80952200267188,-0.10268260538578033,-0.0933421403169632,9.09644338856114,1.0005173683166504,1.035987377166748,3.5451667280674206,0.6148137450218201
9,9,0.07006430625915527,0.4522236712017748,0.0941859160813504,79.1727142829447,-0.10268260538578033,-0.10133948177099228,1.3080342183974751,1.0005173683166504,1.0213617086410522,2.083356169965547,0.6088627576828003
