,sample_№,inference_time,2-wasserstein_distance,mean,var,cov
0,0,3.3429477214813232,199.2938515177054,-9.894242286682129,1.0555769205093384,0.6232240796089172
1,1,3.0050582885742188,199.250688978155,-9.89273738861084,1.056253433227539,0.62396639585495
2,2,2.9790148735046387,199.2521728068702,-9.894516944885254,1.0580705404281616,0.6246922016143799
3,3,2.866511106491089,199.28005689901283,-9.893991470336914,1.0605794191360474,0.6261267066001892
4,4,3.1148455142974854,199.299019873019,-9.894573211669922,1.0581618547439575,0.6250908374786377
5,5,2.9217371940612793,199.23108627484024,-9.892520904541016,1.0584145784378052,0.6236706376075745
6,6,2.905250072479248,199.27514423936964,-9.892451286315918,1.0587925910949707,0.6237781047821045
7,7,2.8765058517456055,199.28402239954283,-9.89453411102295,1.0595580339431763,0.6251497864723206
8,8,2.8436148166656494,199.3111172629831,-9.893924713134766,1.0569484233856201,0.6227396130561829
9,9,3.0865724086761475,199.17526105477708,-9.892372131347656,1.0576391220092773,0.6238645315170288
