,sample_№,"inference_time, сек.",2-WD_max,2-WD,"delta_W, %",mean_opt,mean,"delta_mean, %",var_opt,var,"delta_var, %",cov
0,0,0.15085530281066895,89.41712534228597,0.26639563130596944,99.70207537953583,-9.997854232788086,-9.983915328979492,0.13941895414799052,1.0009924173355103,1.0395886898040771,3.855800683416195,0.6227709650993347
1,1,0.14326786994934082,89.42859981284724,0.26829695314595564,99.69998752780718,-9.997854232788086,-9.980476379394531,0.17381583076660395,1.0009924173355103,1.0356690883636475,3.464229141759259,0.6189824342727661
2,2,0.14015889167785645,89.41738857843772,0.262532948945142,99.70639609015775,-9.997854232788086,-9.981892585754395,0.15965072766659258,1.0009924173355103,1.0395857095718384,3.855502955662502,0.6195720434188843
3,3,0.15436315536499023,89.443990330615,0.26176335341542656,99.70734383333317,-9.997854232788086,-9.98012638092041,0.17731656668424983,1.0009924173355103,1.0250236988067627,2.400745605568128,0.6140179634094238
4,4,0.13103961944580078,89.4343048770638,0.2692330874183813,99.69895993736579,-9.997854232788086,-9.980666160583496,0.17191761156330274,1.0009924173355103,1.0303481817245483,2.9326660103159092,0.6169730424880981
5,5,0.14572405815124512,89.44210236507776,0.28658585950677024,99.67958505901728,-9.997854232788086,-9.976960182189941,0.2089853493724907,1.0009924173355103,1.0354440212249756,3.441744741800369,0.6186033487319946
6,6,0.13703274726867676,89.44212048617091,0.2795065206338897,99.68750011838426,-9.997854232788086,-9.981239318847656,0.16618479879353384,1.0009924173355103,1.0349290370941162,3.390297385962232,0.6198650598526001
7,7,0.13486647605895996,89.44101215346824,0.26109247612130443,99.70808416649702,-9.997854232788086,-9.979913711547852,0.17944371684674312,1.0009924173355103,1.02596914768219,2.495196758149672,0.6134511232376099
8,8,0.1276869773864746,89.43085068257878,0.2566475855740701,99.71302119613621,-9.997854232788086,-9.979633331298828,0.18224812109684638,1.0009924173355103,1.0351343154907227,3.4108048736366006,0.6159630417823792
9,9,0.1454484462738037,89.43170287927157,0.2899765751799578,99.6757563975144,-9.997854232788086,-9.980278015136719,0.17579989907960217,1.0009924173355103,1.036407709121704,3.5380179882345137,0.6197172403335571
