,sample_№,"inference_time, сек.",2-WD_max,2-WD,"delta_W, %",mean_opt,mean,"delta_mean, %",var_opt,var,"delta_var, %",cov
0,0,0.2276155948638916,1.464257495675184,0.4584950818342974,68.6875373226018,-0.10035311430692673,-0.1018817350268364,1.5232419347091026,1.0020257234573364,1.0238186120986938,2.1748831523171277,0.612559974193573
1,1,0.1893937587738037,1.4733163900129935,0.4530592705391129,69.2490171418566,-0.10035311430692673,-0.0974622443318367,2.8806978189519814,1.0020257234573364,1.0244108438491821,2.2339866001253212,0.6125637292861938
2,2,0.20531845092773438,1.471168573843101,0.4627835972911895,68.5431292158267,-0.10035311430692673,-0.10091780871152878,0.5627074042515027,1.0020257234573364,1.0240225791931152,2.1952386271963182,0.6118753552436829
3,3,0.21382522583007812,1.4614107519747732,0.46637245330888905,68.08751730622687,-0.10035311430692673,-0.09955045580863953,0.7998341694033492,1.0020257234573364,1.0311251878738403,2.904063611870228,0.6177563071250916
4,4,0.20376181602478027,1.4864864795897423,0.4740142361213078,68.11176942207159,-0.10035311430692673,-0.09760290384292603,2.7405332490123553,1.0020257234573364,1.0261675119400024,2.409298276232717,0.6115518808364868
5,5,0.21022367477416992,1.4680756138840865,0.47593932834628333,67.58073468115916,-0.10035311430692673,-0.10141681879758835,1.059961614552704,1.0020257234573364,1.02394437789917,2.1874343071958804,0.6134021878242493
6,6,0.1946570873260498,1.4632882457834222,0.46635610067691796,68.12958061948773,-0.10035311430692673,-0.09589383006095886,4.443593282346265,1.0020257234573364,1.0250146389007568,2.294244040372604,0.6127180457115173
7,7,0.21093392372131348,1.4677381396498468,0.45874576909575115,68.74471292234782,-0.10035311430692673,-0.09990722686052322,0.44431849423204867,1.0020257234573364,1.0246286392211914,2.2557221071997113,0.6129571795463562
8,8,0.19510865211486816,1.453230362696661,0.4761113968905449,67.23772024642692,-0.10035311430692673,-0.10248616337776184,2.1255434727329465,1.0020257234573364,1.0292954444885254,2.7214591794209597,0.6141155362129211
9,9,0.20335841178894043,1.4765788591400282,0.4695884867872098,68.19753419328364,-0.10035311430692673,-0.10022442787885666,0.12823361682277754,1.0020257234573364,1.0242255926132202,2.2154989274413572,0.6136369109153748
