,mean,var,cov
0,2.093066692352295,0.8943678736686707,0.9393056035041809
1,1.437442421913147,0.8292848467826843,0.8865278959274292
2,0.8910781145095825,0.7866255640983582,0.8426245450973511
3,0.5019006133079529,0.7577537298202515,0.8104900121688843
4,0.24721994996070862,0.7316879034042358,0.7857269048690796
5,-0.06407575309276581,0.6440454721450806,0.7241409420967102
6,-0.13324332237243652,0.5899066925048828,0.6891242861747742
7,-0.18500760197639465,0.5471257567405701,0.6591625213623047
8,-0.23697681725025177,0.5485432744026184,0.6550014615058899
9,-0.29374969005584717,0.5538138151168823,0.651607871055603
10,-0.363057941198349,0.5690227746963501,0.6513131260871887
11,-0.44632625579833984,0.5961612462997437,0.6541911959648132
12,-0.5501254796981812,0.628848671913147,0.6535125970840454
13,-0.6929982304573059,0.6826937794685364,0.6528297066688538
14,-0.8824885487556458,0.7865484356880188,0.6571849584579468
15,-1.135984182357788,0.9949014782905579,0.6446239352226257
16,-1.1146191358566284,1.0136668682098389,0.6403681635856628
17,-1.0944855213165283,1.0084444284439087,0.6347070932388306
18,-1.0853416919708252,1.0125879049301147,0.6337246298789978
19,-1.0987025499343872,1.0255101919174194,0.6346619725227356
20,-1.1068572998046875,1.0278682708740234,0.6339660882949829
21,-1.0987229347229004,1.0101548433303833,0.630865216255188
22,-1.130720853805542,1.0299046039581299,0.6335312128067017
23,-1.147810935974121,1.0204765796661377,0.6284912824630737
24,-1.2119390964508057,1.0605636835098267,0.631855845451355
25,-1.2304966449737549,1.0417311191558838,0.6307389140129089
26,-1.2581369876861572,1.0305958986282349,0.6263039112091064
27,-1.2680346965789795,1.0182660818099976,0.6287937164306641
28,-1.2772585153579712,1.0084553956985474,0.6303593516349792
29,-1.327686071395874,1.021449327468872,0.6285741925239563
30,-1.3568311929702759,1.0233575105667114,0.6282404065132141
31,-1.3604656457901,1.0124759674072266,0.6304085850715637
32,-1.4052832126617432,1.0186734199523926,0.6255770325660706
33,-1.4417104721069336,1.026849389076233,0.6279487609863281
34,-1.4322174787521362,1.0044065713882446,0.6280918121337891
35,-1.8644965887069702,0.9463430643081665,0.6314133405685425
36,-2.137709617614746,1.0166442394256592,0.6335046887397766
37,-2.1812756061553955,0.9576447606086731,0.6033486127853394
38,-2.4027259349823,1.0877559185028076,0.6428974866867065
39,-2.351417303085327,0.9820586442947388,0.6285693645477295
40,-2.3702170848846436,0.9654393196105957,0.6334930658340454
41,-2.343813896179199,0.9283650517463684,0.6184350252151489
42,-2.5584418773651123,1.0705726146697998,0.644311785697937
43,-2.3604142665863037,0.959119439125061,0.6275148987770081
44,-2.3306725025177,0.8980291485786438,0.6136729717254639
45,-2.2507007122039795,0.9530084729194641,0.6444370746612549
46,-2.458711624145508,0.981103777885437,0.6538985967636108
47,-2.4103901386260986,0.9841800928115845,0.6520759463310242
48,-2.3855371475219727,0.970301628112793,0.6218627691268921
49,-2.4606194496154785,0.9519020318984985,0.6503139138221741
50,-2.4682552814483643,0.9990633130073547,0.6368120312690735
51,-2.4672117233276367,1.0097942352294922,0.6338359117507935
52,-2.46636700630188,1.0150940418243408,0.6322815418243408
53,-2.4662318229675293,1.0212109088897705,0.6310063004493713
54,-2.4594714641571045,1.0179622173309326,0.6305858492851257
55,-2.4457390308380127,1.0165338516235352,0.6280243992805481
56,-2.45442533493042,1.019643783569336,0.6295863389968872
57,-2.4565181732177734,1.0232570171356201,0.6291643977165222
58,-2.454545497894287,1.0221774578094482,0.6290445327758789
59,-2.4527134895324707,1.0236876010894775,0.6281896829605103
