,sample_№,"inference_time, сек.",2-WD_opt,2-WD,"delta_W, %",mean_opt,mean,"delta_mean, %",var_opt,var,"delta_var, %",cov
0,0,0.527977705001831,34.62800855273267,33.70373116233886,2.6691612628727737,-10.003323554992676,-9.453667640686035,5.494732938357337,3.6597957611083984,3.710782766342163,1.393165317463585,3.0350799560546875
1,1,0.4156794548034668,34.69576828459469,33.711285956506586,2.8374708985050114,-10.003323554992676,-9.446659088134766,5.564795178299296,3.6597957611083984,3.68060302734375,0.5685362679651259,3.030317544937134
2,2,0.41419029235839844,34.72475443449139,33.67494037769198,3.023244005310076,-10.003323554992676,-9.434037208557129,5.690972038502295,3.6597957611083984,3.792226791381836,3.61853608555822,3.1065568923950195
3,3,0.3225436210632324,34.662459798448076,33.7610698129794,2.6004789928643004,-10.003323554992676,-9.431812286376953,5.713213868109668,3.6597957611083984,3.7716150283813477,3.0553417341268205,3.0892574787139893
4,4,0.3816401958465576,34.68460069658867,33.77664405851277,2.6177514511942905,-10.003323554992676,-9.438531875610352,5.646040301280025,3.6597957611083984,3.753373384475708,2.5569083488683213,3.0700244903564453
5,5,0.34647655487060547,34.70949914841049,33.68001060910364,2.9660138134087486,-10.003323554992676,-9.440814971923828,5.623216923620337,3.6597957611083984,3.7646358013153076,2.864641828405133,3.101447343826294
6,6,0.33739280700683594,34.610710719880835,33.73218592028971,2.538303263118172,-10.003323554992676,-9.437163352966309,5.659720980871359,3.6597957611083984,3.758314847946167,2.6919285465244447,3.1006572246551514
7,7,0.35607218742370605,34.6873126422535,33.70359245385312,2.83596541059825,-10.003323554992676,-9.448332786560059,5.548063754826968,3.6597957611083984,3.737553358078003,2.124643068772094,3.0612127780914307
8,8,0.3271782398223877,34.64634991103431,33.70426854829684,2.7191359700417697,-10.003323554992676,-9.437472343444824,5.6566321026918525,3.6597957611083984,3.758165121078491,2.6878374202034934,3.0802805423736572
9,9,0.3283522129058838,34.669040942141415,33.61162378833409,3.0500328969931054,-10.003323554992676,-9.431526184082031,5.7160739404981005,3.6597957611083984,3.7638416290283203,2.8429419211199574,3.071727991104126
