,sample_№,inference_time,2-wasserstein_distance,mean,var,cov
0,0,0.33622264862060547,0.877189418497754,-0.10361214727163315,1.0402766466140747,0.6246841549873352
1,1,0.3530161380767822,0.9232301990786869,-0.1000959724187851,1.0389034748077393,0.6109866499900818
2,2,0.28995585441589355,0.894428571519168,-0.10549034923315048,1.0419745445251465,0.617247998714447
3,3,0.30631065368652344,0.9160529407029641,-0.10251501947641373,1.0360276699066162,0.624057412147522
4,4,0.296907901763916,0.8951205733024732,-0.10275431722402573,1.0285298824310303,0.6070629954338074
5,5,0.27996301651000977,0.8596662296426896,-0.10395965725183487,1.0323631763458252,0.6069762706756592
6,6,0.281278133392334,0.8924307357472487,-0.10445980727672577,1.0333201885223389,0.6137259602546692
7,7,0.25937795639038086,0.8738803356800916,-0.10310593992471695,1.037736415863037,0.614412784576416
8,8,0.2772376537322998,0.8912303833051638,-0.10519222170114517,1.023674726486206,0.6103447675704956
9,9,0.28133606910705566,0.9006491535581785,-0.10348455607891083,1.0424284934997559,0.6189982891082764
