,sample_№,"inference_time, сек.",2-WD_max,2-WD,"delta_W, %",mean_opt,mean,"delta_mean, %",var_opt,var,"delta_var, %",cov
0,0,0.05274534225463867,44.72768635224298,0.11469099868890802,99.74357940675563,-10.002104759216309,-9.995346069335938,0.06757267638237228,0.9947586059570312,1.0322134494781494,3.7652193503853972,0.6200804710388184
1,1,0.04232048988342285,44.72608787579703,0.12297464618565149,99.72504940175597,-10.002104759216309,-9.987272262573242,0.14829375416608384,0.9947586059570312,1.0409053564071655,4.638989818614104,0.6215506792068481
2,2,0.06688046455383301,44.72537202515417,0.12454582946177753,99.72153204362003,-10.002104759216309,-9.983604431152344,0.1849643500975928,0.9947586059570312,1.0354515314102173,4.090733692525981,0.6139426231384277
3,3,0.046885013580322266,44.71658437406229,0.12315487893172752,99.7245879114972,-10.002104759216309,-9.989062309265137,0.13039705407158508,0.9947586059570312,1.0286269187927246,3.404676534877478,0.6181942224502563
4,4,0.0531005859375,44.72247820281909,0.1020215484151253,99.77187858876593,-10.002104759216309,-9.994029998779297,0.08073061252004321,0.9947586059570312,1.0241658687591553,2.9562209993480844,0.6141911745071411
5,5,0.04691362380981445,44.727547950136966,0.12529145485836873,99.71987855225588,-10.002104759216309,-9.989603996276855,0.12498132383521039,0.9947586059570312,1.0379283428192139,4.339719868082985,0.6142278909683228
6,6,0.0523681640625,44.73016567539006,0.1291741446897964,99.71121469652668,-10.002104759216309,-9.982221603393555,0.19878971777847887,0.9947586059570312,1.0336835384368896,3.9130028377497412,0.6233373880386353
7,7,0.049284934997558594,44.73673628273888,0.1278308100941391,99.71425986624004,-10.002104759216309,-9.98926067352295,0.12841382891460282,0.9947586059570312,1.0362961292266846,4.175638493691759,0.6191292405128479
8,8,0.040184974670410156,44.73151429930795,0.11038738849623274,99.75322233055289,-10.002104759216309,-9.985100746154785,0.17000434879324086,0.9947586059570312,1.0278894901275635,3.3305451163860873,0.6139802932739258
9,9,0.04693484306335449,44.71328809873868,0.1209734243274922,99.72944636936484,-10.002104759216309,-9.988520622253418,0.1358127843079598,0.9947586059570312,1.0479234457015991,5.344496587030717,0.6232367157936096
