,Показатели обучения
Количество параметров модели,4933.0
"Время обучения, сек",194.0
"err_mean, %",0.8924332025029152
"err_var, %",3.9545401015928574
"err_cov, %",0.06979266624264283
"err_WD, %",0.40219424685728145
