,sample_№,"inference_time, сек.",2-WD_max,2-WD,"delta_W, %",mean_opt,mean,"delta_mean, %",var_opt,var,"delta_var, %",cov
0,0,0.09977173805236816,8.970261351064336,0.22069322295895558,97.5397236008874,-1.0032881498336792,-0.993969738483429,0.9287871437328359,1.0029035806655884,1.0227915048599243,1.9830345187457692,0.6139570474624634
1,1,0.09994268417358398,8.968279275252309,0.21604893814757134,97.59096554069463,-1.0032881498336792,-0.9955209493637085,0.7741744454231136,1.0029035806655884,1.0271086692810059,2.4135010665086565,0.6156994700431824
2,2,0.0646064281463623,8.959194817367324,0.21746142948923414,97.57275699521918,-1.0032881498336792,-0.9971906542778015,0.6077511786507697,1.0029035806655884,1.0238946676254272,2.0930314104480408,0.6155866384506226
3,3,0.09373641014099121,8.961016682602757,0.21339085782777814,97.61867581117147,-1.0032881498336792,-0.9975821375846863,0.568731151657561,1.0029035806655884,1.0167014598846436,1.3757931953835538,0.6084497570991516
4,4,0.07032561302185059,8.9672274690919,0.21236995422766175,97.63170996877625,-1.0032881498336792,-0.9952093362808228,0.805233626470692,1.0029035806655884,1.0254781246185303,2.250918671360216,0.6181830167770386
5,5,0.0735774040222168,8.960664915566396,0.21782163092018417,97.56913540487619,-1.0032881498336792,-0.9974379539489746,0.5831022608683667,1.0029035806655884,1.0235480070114136,2.058465713336499,0.6123819947242737
6,6,0.07815432548522949,8.974225992171727,0.21419736123457783,97.61319403565919,-1.0032881498336792,-0.9951041340827942,0.8157193675856454,1.0029035806655884,1.022437334060669,1.9477199774395828,0.6121931672096252
7,7,0.0737154483795166,8.94882719119772,0.21313556959455493,97.61828488760852,-1.0032881498336792,-0.9958598017692566,0.7404002594522866,1.0029035806655884,1.024158239364624,2.119312275755337,0.6149648427963257
8,8,0.07809114456176758,8.96402930672752,0.21454489370604454,97.60660204953784,-1.0032881498336792,-0.9956998825073242,0.7563397741329777,1.0029035806655884,1.0246679782867432,2.17013858966488,0.6159365773200989
9,9,0.08550238609313965,8.950372485546941,0.22207553995741375,97.51881231405709,-1.0032881498336792,-0.9968719482421875,0.6395173303457585,1.0029035806655884,1.0292850732803345,2.6305113595504084,0.6158894300460815
