,Показатели обучения
Количество параметров модели,6868.0
"Время обучения, сек",274.0
"err_mean, %",1.0945711048944142
"err_var, %",2.0587965519634017
"err_cov, %",0.6108920654087595
"err_WD, %",0.3374806979921497
