,Показатели обучения
Количество параметров модели,68869.0
"Время обучения, сек",129.0
"err_mean, %",0.2470850295280548
"err_var, %",1.9416064786714777
"err_cov, %",2.0775679009055814
"err_WD, %",0.28992348306401217
