,sample_№,"inference_time, сек.",2-WD_opt,2-WD,"delta_W, %",mean_opt,mean,"delta_mean, %",var_opt,var,"delta_var, %",cov
0,0,0.5557808876037598,4.582615523457007,4.510980935284069,1.5631812838380785,-1.0032962560653687,-0.9927545785903931,1.0507043568882566,0.995834231376648,1.0137289762496948,1.7969602077555678,0.60804283618927
1,1,0.42442870140075684,4.565624952679934,4.515857999998794,1.0900359358673983,-1.0032962560653687,-0.9933062791824341,0.9957155548563797,0.995834231376648,1.01870596408844,2.2967409626172377,0.6104643940925598
2,2,0.46722412109375,4.540575213084323,4.504928690675646,0.7850662247804298,-1.0032962560653687,-1.0022532939910889,0.10395354990857576,0.995834231376648,1.0178552865982056,2.2113173586245938,0.6142079830169678
3,3,0.3647167682647705,4.579359581953253,4.503366223388118,1.6594756800626844,-1.0032962560653687,-0.9899843335151672,1.326818720764178,0.995834231376648,1.023533582687378,2.7815223094347954,0.6130937337875366
4,4,0.327129602432251,4.554653351986846,4.5548429806706086,0.004163405403396482,-1.0032962560653687,-0.9911051988601685,1.2151004383301416,0.995834231376648,1.019930124282837,2.4196690721184226,0.6067814230918884
5,5,0.33132410049438477,4.52142369065476,4.477947847657971,0.9615520679171939,-1.0032962560653687,-0.9954249262809753,0.7845469109256262,0.995834231376648,1.0255448818206787,2.983493588381528,0.6059715747833252
6,6,0.3335576057434082,4.486901939965352,4.512782825428829,0.576809696529194,-1.0032962560653687,-0.9939991235733032,0.9266587446988026,0.995834231376648,1.0125969648361206,1.6832855239671507,0.6054710745811462
7,7,0.3662896156311035,4.556370937528824,4.5273736241081295,0.6364124830543559,-1.0032962560653687,-0.9982059597969055,0.5073572474421236,0.995834231376648,1.010774850845337,1.5003118991034232,0.6072308421134949
8,8,0.356611967086792,4.508485560754164,4.5293422314678615,0.46260923834939377,-1.0032962560653687,-0.987841784954071,1.5403696583006772,0.995834231376648,1.0177795886993408,2.2037159028320867,0.6107731461524963
9,9,0.33659863471984863,4.567252035697005,4.545189274251479,0.48306424241725104,-1.0032962560653687,-0.998553454875946,0.47272190649075796,0.995834231376648,1.0115225315093994,1.5753927348996482,0.5979894995689392
