,mean,var,cov
0,0.9568045735359192,1.9239447116851807,0.9745889902114868
1,0.41258469223976135,1.6016842126846313,0.8538280725479126
2,-0.343085914850235,1.3464298248291016,0.754219651222229
3,-0.813522458076477,1.2130687236785889,0.6954377293586731
4,-0.9631285667419434,1.1583831310272217,0.6737391352653503
5,-1.0076195001602173,1.09952712059021,0.6452959179878235
6,-1.0107547044754028,1.0803841352462769,0.6342273950576782
7,-1.0160585641860962,1.049480676651001,0.6237732768058777
8,-0.9875540733337402,1.0393731594085693,0.6139758825302124
9,-1.0069125890731812,1.0356515645980835,0.6189917922019958
10,-0.9916979670524597,1.02169930934906,0.6120256781578064
11,-0.6824135780334473,1.0118424892425537,0.6016867756843567
12,-0.9845530390739441,1.0329142808914185,0.6139087677001953
13,-0.9939680099487305,1.0185037851333618,0.6051939129829407
