,sample_№,inference_time,2-wasserstein_distance,mean,var,cov
0,0,0.38932251930236816,9.723281725914276,-1.0003039836883545,1.057659387588501,0.625102162361145
1,1,0.3388335704803467,9.644992697767337,-0.997451901435852,1.0527830123901367,0.6213651895523071
2,2,0.3375568389892578,9.732240995388773,-0.9962555170059204,1.0572268962860107,0.6246447563171387
3,3,0.34449005126953125,9.751766112675586,-0.9985240697860718,1.0629584789276123,0.6297993659973145
4,4,0.3281409740447998,9.667555018822297,-0.9972573518753052,1.0652344226837158,0.6298013925552368
5,5,0.33432769775390625,9.692686417094208,-0.9965599179267883,1.0605311393737793,0.6294425129890442
6,6,0.3437485694885254,9.671816025980814,-0.996444582939148,1.0613826513290405,0.6282333135604858
7,7,0.3511381149291992,9.743982438151294,-0.9984586834907532,1.056470274925232,0.6247543096542358
8,8,0.3438248634338379,9.71455576937381,-0.9946231842041016,1.0574243068695068,0.6266159415245056
9,9,0.3585548400878906,9.726820812296738,-0.9981933832168579,1.0602056980133057,0.6304709911346436
